Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
19,Entry long,2023-11-30 15:15,Long,1277.35,4,5109.4,-7.31,-0.14,259.96,5.08,-110.64,-2.16,2024.89,4.05
20,Exit long,2024-01-15 10:15,Close entry(s) order Long,1362.9,3,4048.8,22,0.54,178.74,4.41,-102.66,-2.53,2046.89,4.09
20,Entry long,2024-01-04 13:15,Long,1349.6,3,4048.8,22,0.54,178.74,4.41,-102.66,-2.53,2046.89,4.09
21,Exit long,2024-01-29 13:15,Close entry(s) order Long,1462.95,3,4531.65,-162.43,-3.58,62.78,1.38,-164.62,-3.62,1884.46,3.77
21,Entry long,2024-01-25 10:15,Long,1510.55,3,4531.65,-162.43,-3.58,62.78,1.38,-164.62,-3.62,1884.46,3.77
22,Exit long,2024-02-07 12:15,Close entry(s) order Long,1705.3,3,4911.15,182.69,3.71,357.45,7.26,-175.05,-3.56,2067.15,4.13
22,Entry long,2024-02-02 11:15,Long,1637.05,3,4911.15,182.69,3.71,357.45,7.26,-175.05,-3.56,2067.15,4.13
23,Exit long,2024-05-31 10:15,Close entry(s) order Long,2035.6,2,4049.2,4.14,0.10,133.09,3.28,-55.31,-1.36,2071.29,4.14
23,Entry long,2024-05-23 12:15,Long,2024.6,2,4049.2,4.14,0.10,133.09,3.28,-55.31,-1.36,2071.29,4.14
24,Exit long,2024-07-02 12:15,Close entry(s) order Long,1926.25,2,3963.1,-127.79,-3.22,36.78,0.93,-131.32,-3.31,1943.49,3.89
24,Entry long,2024-06-28 12:15,Long,1981.55,2,3963.1,-127.79,-3.22,36.78,0.93,-131.32,-3.31,1943.49,3.89
25,Exit long,2024-07-12 13:15,Close entry(s) order Long,2039.75,2,4070.5,-8.93,-0.22,189.54,4.65,-106.76,-2.62,1934.56,3.87
25,Entry long,2024-07-08 14:15,Long,2035.25,2,4070.5,-8.93,-0.22,189.54,4.65,-106.76,-2.62,1934.56,3.87
26,Exit long,2024-08-23 12:15,Close entry(s) order Long,1807.55,2,3761.2,-162.33,-4.31,7.23,0.19,-154.37,-4.10,1772.24,3.54
26,Entry long,2024-08-21 10:15,Long,1880.6,2,3761.2,-162.33,-4.31,7.23,0.19,-154.37,-4.10,1772.24,3.54
27,Exit long,2024-09-09 10:15,Close entry(s) order Long,1902.25,2,3797.9,-10.13,-0.27,219.54,5.77,-28.56,-0.75,1762.11,3.52
27,Entry long,2024-08-30 14:15,Long,1898.95,2,3797.9,-10.13,-0.27,219.54,5.77,-28.56,-0.75,1762.11,3.52
28,Exit long,2024-09-18 10:15,Close entry(s) order Long,1948,2,3965.2,-86.49,-2.18,2.58,0.06,-93.82,-2.36,1675.62,3.35
28,Entry long,2024-09-17 09:15,Long,1982.6,2,3965.2,-86.49,-2.18,2.58,0.06,-93.82,-2.36,1675.62,3.35
29,Exit long,2024-10-14 14:15,Close entry(s) order Long,2005.4,2,4128.1,-135.21,-3.27,122.22,2.95,-155.18,-3.75,1540.41,3.08
29,Entry long,2024-10-10 09:15,Long,2064.05,2,4128.1,-135.21,-3.27,122.22,2.95,-155.18,-3.75,1540.41,3.08
30,Exit long,2024-12-11 15:15,Close entry(s) order Long,2198.35,2,4252.7,124.97,2.93,364.64,8.56,-127.06,-2.98,1665.38,3.33
30,Entry long,2024-12-02 10:15,Long,2126.35,2,4252.7,124.97,2.93,364.64,8.56,-127.06,-2.98,1665.38,3.33
31,Exit long,2025-01-13 15:15,Close entry(s) order Long,2002,2,4180.9,-194.91,-4.65,42.2,1.01,-298.2,-7.12,1470.48,2.94
31,Entry long,2025-01-10 12:15,Long,2090.45,2,4180.9,-194.91,-4.65,42.2,1.01,-298.2,-7.12,1470.48,2.94
32,Exit long,2025-02-07 11:15,Close entry(s) order Long,1857.3,2,3727.1,-28.87,-0.77,78.1,2.09,-48.7,-1.30,1441.6,2.88
32,Entry long,2025-02-05 10:15,Long,1863.55,2,3727.1,-28.87,-0.77,78.1,2.09,-48.7,-1.30,1441.6,2.88
33,Exit long,2025-02-27 12:15,Close entry(s) order Long,1977.3,2,3853.4,84.02,2.18,241.32,6.25,-72.68,-1.88,1525.63,3.05
33,Entry long,2025-02-20 10:15,Long,1926.7,2,3853.4,84.02,2.18,241.32,6.25,-72.68,-1.88,1525.63,3.05
34,Exit long,2025-03-04 14:15,Close entry(s) order Long,2067.95,2,4133.2,-15.49,-0.37,90.91,2.19,-123.39,-2.98,1510.13,3.02
34,Entry long,2025-03-04 09:15,Long,2066.6,2,4133.2,-15.49,-0.37,90.91,2.19,-123.39,-2.98,1510.13,3.02
35,Exit long,2025-03-25 13:15,Close entry(s) order Long,1771.15,2,3609.3,-82.73,-2.29,27.36,0.76,-85.64,-2.37,1427.4,2.85
35,Entry long,2025-03-24 14:15,Long,1804.65,2,3609.3,-82.73,-2.29,27.36,0.76,-85.64,-2.37,1427.4,2.85
36,Exit long,2025-04-01 13:15,Close entry(s) order Long,1812.35,2,3685.1,-76.48,-2.07,196.39,5.32,-114.41,-3.10,1350.92,2.70
36,Entry long,2025-03-25 15:15,Long,1842.55,2,3685.1,-76.48,-2.07,196.39,5.32,-114.41,-3.10,1350.92,2.70
37,Exit long,2025-05-20 14:15,Close entry(s) order Long,1824.75,2,3644.5,-11.05,-0.30,55.48,1.52,-72.52,-1.99,1339.87,2.68
37,Entry long,2025-05-16 15:15,Long,1822.25,2,3644.5,-11.05,-0.30,55.48,1.52,-72.52,-1.99,1339.87,2.68
38,Exit long,2025-05-28 13:15,Close entry(s) order Long,1905.65,2,3844.5,-50.04,-1.30,94.84,2.46,-41.66,-1.08,1289.83,2.58
38,Entry long,2025-05-26 15:15,Long,1922.25,2,3844.5,-50.04,-1.30,94.84,2.46,-41.66,-1.08,1289.83,2.58
39,Exit long,2025-06-04 10:15,Close entry(s) order Long,1940.25,2,3931.1,-67.79,-1.72,46.25,1.17,-83.95,-2.13,1222.04,2.44
39,Entry long,2025-06-02 12:15,Long,1965.55,2,3931.1,-67.79,-1.72,46.25,1.17,-83.95,-2.13,1222.04,2.44
40,Exit long,2025-06-18 14:15,Close entry(s) order Long,2060.75,2,4280.9,-177.89,-4.15,7.68,0.18,-174.32,-4.06,1044.16,2.09
40,Entry long,2025-06-16 10:15,Long,2140.45,2,4280.9,-177.89,-4.15,7.68,0.18,-174.32,-4.06,1044.16,2.09
41,Exit long,2025-07-24 10:15,Close entry(s) order Long,2619.25,2,4744.9,471.64,9.92,641.06,13.48,-21.14,-0.44,1515.79,3.03
41,Entry long,2025-07-14 11:15,Long,2372.45,2,4744.9,471.64,9.92,641.06,13.48,-21.14,-0.44,1515.79,3.03
42,Exit long,2025-08-14 10:15,Close entry(s) order Long,2687.45,1,2780.25,-104.83,-3.76,0,0.00,-104.77,-3.76,1410.97,2.82
42,Entry long,2025-08-13 10:15,Long,2780.25,1,2780.25,-104.83,-3.76,0,0.00,-104.77,-3.76,1410.97,2.82
43,Exit long,2025-09-19 15:15,Close entry(s) order Long,3044.85,1,3050.25,-18.81,-0.62,33.44,1.09,-41.96,-1.37,1392.16,2.78
43,Entry long,2025-09-15 15:15,Long,3050.25,1,3050.25,-18.81,-0.62,33.44,1.09,-41.96,-1.37,1392.16,2.78
